forward_id	forward_name	tunnel_id	remote_addr	in_port
15	Fachost Seednet	6	seednet.979998.xyz:33013	10000
19	Fachost Hinet 1区	6	nat01-hinet.fachost.cloud:13858	10006
26	RFC HK	9	172.81.111.70:13608	13608
28	Bestvm HK	10	bestvm.979998.xyz:29648	14365
29	Renet HK	11	202.155.123.180:55290	19601
43	Uzumaru Global-1.Small	16	198.176.54.180:21004	21402
44	Uzumaru Global-1B.Small	16	198.176.54.180:22010	21403
45	Uzumaru USVZ1.Small	16	23.106.46.89:29007	21404
46	BoilCloud  5區NAT - HKT	9	boil.jung.eu.org:26403	26403
47	BoilCloud  5區NAT - HKT	11	boil.jung.eu.org:26403	19602
51	wawo hkbn	1	hkbn4.966775.xyz:52412	10000
57	wawo hkbn	17	[2400:c620:2b:bc::a]:51941	20000
67	懒猫全球	9	185.241.42.94:23015	23015
68	Boil	16	boil.jung.eu.org:26403	21405
69	懒猫全球	1	185.241.42.94:23015	10001
70	懒猫全球	13	185.241.42.94:23015	10002
72	懒猫云 全球Mini	18	185.241.42.94:34356	20000
73	懒猫云 全球Basic	18	185.241.42.94:23016	20001
74	Uzumaru Global-1.Small	18	198.176.54.180:21005	20002
75	Uzumaru Global-1B.Small 	18	198.176.54.180:22011	20003
79	Uzumaru JPNTT1.Small	6	210.231.177.93:21241	10001
80	Uzumaru TWTBC2.Small	13	twtbc2.uzuma.ru:20281	10003
82	Boil	19	boil.jung.eu.org:26403	21312
87	Uzumaru TWTBC2.Small 	18	twtbc2.uzuma.ru:20281	20005
88	Uzumaru KROC1.Small.Free	18	193.123.229.198:21173	20006
89	Uzumaru SGSH3.Small 	18	104.234.167.176:33002	20007
90	Uzumaru SGRS2.Small	18	113.29.231.218:20501	20008
94	Kaze WPC	13	82.25.145.23:47583	10004
95	Uzumaru JPNTT1.Small	23	210.231.177.93:21240	20000
96	Uzumaru JPBL1.Small	23	23.81.40.149:21004	20001
99	RFC JP	23	e.lowlife.eu.org:55894	20004
105	Boil HKT	24	boil.jung.eu.org:26403	30001
107	wawo simlpe se	17	[2400:c620:22:123::a]:37313	20001
111	Boil HKT	25	boil.jung.eu.org:26403	21000
