node_id	node_name	ip	server_ip
1	阿里G口	8.166.137.87	8.166.137.87
2	阿里广州	8.138.120.16	8.138.120.16
3	咕咕云	165.101.5.172	165.101.5.172
4	YT.NET IX	cnix.zhuji.host	cnix.zhuji.host
7	Aliyun-Claw-JP-Black Friday	47.74.32.145	47.74.32.145
8	Wawo-HkPis-Excellence-2G-31	103.122.244.22	103.122.244.22
10	Bgp.GD 莞港IPLC 	119.147.22.28	119.147.22.28
11	速维云 年付	103.236.60.119	103.236.60.119
12	LaLa  广东三线NAT|680	119.147.129.75	119.147.129.75
13	无忧云 - 深圳电信	103.236.62.196	103.236.62.196
15	YT HK.BGP.A	hk-bgp.zhuji.host	hk-bgp.zhuji.host
16	LaLa  广东三线NAT|680 S2	14.116.246.198	14.116.246.198
18	速维云 G口	103.236.64.30	103.236.64.30
19	云曦幻境	2409:8c54:6810:5::c4	2409:8c54:6810:5::c4
20	Wawo-HkPis-Excellence-2G-34	103.192.179.240	103.192.179.240
24	咕咕云 苏日专线特惠型	43.227.71.46	43.227.71.46
25	HaloCloud 深圳三线	240e:97c:400c:803::1:14c	240e:97c:400c:803::1:14c
26	Heptasky Trinity-V6-500G流量款	240e:97d:10:25cf:2::2e	240e:97d:10:25cf:2::2e
27	VmSilo IEPL-沪港-ipv6	240e:96c:7100:1fe:1c8:c8aa:4ecc:6f	240e:96c:7100:1fe:1c8:c8aa:4ecc:6f
28	DMIT-LAX.Pro.MALIBU	154.21.89.58	154.21.89.58
30	肥仔云 深圳电信IEPL	103.236.57.183	103.236.57.183
31	BandwagonHost-MEGABOX-PRO	144.34.238.147	144.34.238.147
32	Heptasky QHIXP-IPLC	163.223.124.110	163.223.124.110
33	V5.NET HKIXP-V1	138.252.162.75	138.252.162.75
34	YT.NET SZCT.A	103.236.67.27	103.236.67.27
35	Mkcloud 广州BGP-香港IEPL专线	109.244.76.47	109.244.76.47
36	LeikwanHost 利群马年创始	leikwanct.zlib4.eu.org	leikwanct.zlib4.eu.org
37	咕咕云 沪日	211.161.225.88	211.161.225.88
38	阿里 上海	139.196.125.70	139.196.125.70
39	咕咕云 沪日 IX-NAT99	211.161.225.88	211.161.225.88
40	LeikwanHost 利群 Promo- SDWAN-雙子星	leikwan.zlib4.eu.org	leikwan.zlib4.eu.org
41	VmSilo 沪日 IEPL ipv6	240e:96c:7100:1fe:1c8:c8aa:4ecc:7d	240e:96c:7100:1fe:1c8:c8aa:4ecc:7d
42	VmSilo 沪港 IEPL	240e:96c:7100:1fe:1c8:c8aa:4ecc:83	240e:96c:7100:1fe:1c8:c8aa:4ecc:83
43	VmSilo 沪美 IEPL	240e:96c:7100:1fe:1c8:c8aa:4ecc:86	240e:96c:7100:1fe:1c8:c8aa:4ecc:86
