tunnel_id,tunnel_name,in_node_id,out_node_id,in_ip,out_ip,type
1,????-???,2,3,8.138.120.16,165.101.5.172,2
2,????-YT,2,4,8.138.120.16,cnix.zhuji.host,2
3,??G?-YT,1,4,8.166.137.87,cnix.zhuji.host,2
6,Aliyun-Claw-JP-Black Friday,7,7,47.74.32.145,47.74.32.145,1
7,Wawo-HkPis-Excellence-2G-31,8,8,103.122.244.22,103.122.244.22,1
9,Bgp.GD ??IPLC,10,10,119.147.22.28,119.147.22.28,1
10,???????YT,11,4,103.236.60.119,cnix.zhuji.host,2
11,LaLa  ????NAT|680,12,12,119.147.129.75,119.147.129.75,1
12,??? YT,13,4,103.236.62.196,cnix.zhuji.host,2
13,???-> HK.BGP.A,13,15,103.236.62.196,hk-bgp.zhuji.host,2
16,LaLa ????NAT|680 S2,16,16,14.116.246.198,14.116.246.198,1
17,????,19,19,2409:8c54:6810:5::c4,2409:8c54:6810:5::c4,1
18,Wawo-HkPis-Excellence-2G-34,20,20,103.192.179.240,103.192.179.240,1
19,???G?-YT,18,4,103.236.64.30,cnix.zhuji.host,2
23,??? ???????,24,24,43.227.71.46,43.227.71.46,1
24,HaloCloud ????,25,25,240e:97c:400c:803::1:14c,240e:97c:400c:803::1:14c,1
25,Heptasky Trinity-V6-500G???,26,26,240e:97d:10:25cf:2::2e,240e:97d:10:25cf:2::2e,1
26,VmSilo IEPL-??-ipv6,27,27,240e:96c:7100:1fe:1c8:c8aa:4ecc:6f,240e:96c:7100:1fe:1c8:c8aa:4ecc:6f,1
27,DMIT-LAX.Pro.MALIBU,28,28,154.21.89.58,154.21.89.58,1
29,??? ????IEPL,30,30,103.236.57.183,103.236.57.183,1
30,BandwagonHost-MEGABOX-PRO,31,31,144.34.238.147,144.34.238.147,1
31,???-Heptasky,11,32,103.236.60.119,163.223.124.110,2
32,???-Heptasky,13,32,103.236.62.196,163.223.124.110,2
33,??-hep,1,32,8.166.137.87,163.223.124.110,2
34,??? V5,18,33,103.236.64.30,138.252.162.75,2
35,YT IPLC,34,15,103.236.67.27,hk-bgp.zhuji.host,2
36,Mkcloud ??BGP-??IEPL??,35,35,109.244.76.47,109.244.76.47,1
37,LeikwanHost ??????,36,36,leikwanct.zlib4.eu.org,leikwanct.zlib4.eu.org,1
39,???? -?????,38,37,139.196.125.70,211.161.225.88,2
40,?????-??? ??99,38,39,139.196.125.70,211.161.225.88,2
41,LeikwanHost ?? Promo- SDWAN-???,40,40,leikwan.zlib4.eu.org,leikwan.zlib4.eu.org,1
42,VmSilo IEPL-??-ipv6,41,41,240e:96c:7100:1fe:1c8:c8aa:4ecc:7d,240e:96c:7100:1fe:1c8:c8aa:4ecc:7d,1
43,VmSilo ?? IEPL,42,42,240e:96c:7100:1fe:1c8:c8aa:4ecc:83,240e:96c:7100:1fe:1c8:c8aa:4ecc:83,1
44,VmSilo ?? IEPL,43,43,240e:96c:7100:1fe:1c8:c8aa:4ecc:86,240e:96c:7100:1fe:1c8:c8aa:4ecc:86,1
